'VIRGINIA ALICIA', 'BALASTEGUI PRINCIPE', '1920-07-18'
'PELEGRI', 'EGIDOS RULLO', '2015-06-20'
'MARYORY', 'LECHE BAILE', '1982-08-22'
'EDWARD ANTONIO', 'MARIMON PUICA', '1975-12-13'
'JOHN ALEXANDER', 'VILLALPANDO PIORNO', '1934-03-19'
'ROSARIO FATIMA', 'ORUS JARABA', '1984-03-06'
'MARILIN', 'BRINGAS CEPA', '1976-01-23'
'TELVINA', 'QAMAR SGHIR', '1960-03-25'
'MARIA CONSTANCIA', 'VALLESPIN REBOIRAS', '2010-12-03'
'IYANA', 'ALFARO ROMANO', '1974-12-18'
'EL MAHI', 'ZUBICARAY ALMELA', '1967-11-04'
'DAVID THOMAS', 'SCHAEFER DOVALE', '1944-12-30'
'ASHLEY ELIZABETH', 'BRAMON ARASANZ', '1972-03-01'
'MARGARITA ROSA', 'BERRIATUA POLINARIO', '1961-01-20'
'GHOFRANE', 'PERTEGAL FORD', '1941-01-05'
'ZAMFIR', 'SUROS BESTARD', '1949-11-25'
'MIRIAM VALLE', 'KUZNETSOVA ERRACHIDI', '1977-06-07'
'EUMELIA', 'DE ANA BEREZIARTUA', '1939-08-13'
'ZHENHAO', 'CALCERRADA SELLAM', '1930-02-12'
'BYRON DANIEL', 'GODINEZ LOUKILI', '1924-09-10'
'GUILLERMO ANGEL', 'AUBA SAINZ', '1987-09-10'
'FRANCISCA TERESA', 'PASCU STEPANYAN', '1995-10-23'
'ELIETE', 'BEDIALAUNETA TIMIS', '1964-06-24'
'BEATRIZ FATIMA', 'D'ANDREA PRADILLA', '1943-10-05'
'SHENGWEI', 'VICEDO MORA GIL', '1986-08-17'
'ASHA', 'DUPONT ARENCON', '1966-11-13'
'ISABEL GREGORIA', 'SAVCHUK GOMEZ DE LA TORRE', '1994-02-17'
'TOMY', 'ARMINIO BECEDAS', '1938-07-10'
'ERIKA ELENA', 'MATHEU DEYA', '2001-10-24'
'HAIHUA', 'WALO SATUE', '1919-07-16'
'VERONICA INMACULADA', 'DAIF NICLOS', '1959-12-31'
'MINJIE', 'BROCOS RUS', '1968-12-20'
'ISIDRO ENRIQUE', 'CUACOS MAZON', '1996-09-21'
'CONSTANTIN LAURENTIU', 'VEZ CABAÑES', '1964-08-09'
'MARINA ELVIRA', 'HADDIOUI BARONE', '1983-02-08'
'RODOLFO MARIO', 'NINOU CRISOSTOMO', '1971-12-19'
'YUKIKO', 'KONTE QUINTIA', '1959-10-22'
'HAWA', 'ORTIGOZA NASEER', '1949-02-04'
'KRASIMIRA', 'SANTOME ABED', '1997-11-12'
'DEBORAH ANN', 'JORRO NOLASCO', '1930-05-07'
'NEREA PILAR', 'PAULS BERICAT', '1966-12-28'
'JESUS AMABLE', 'WARREN AIGUADE', '1921-02-01'
'FERNANDO ALEXIS', 'ALZAGA ARSUAGA', '1982-07-20'
'CARMEN DILIA', 'CHARTE CUERVA', '1937-05-10'
'RINAT', 'AGUDIN KHELIFI', '2010-06-10'
'JAQUELINA', 'AGUAVIVA HARGUINDEY', '1973-04-23'
'MARIA LUCIANA', 'SEVILA LEÑA', '1973-09-16'
'JESUSA', 'DAHBI BELLORIN', '1977-06-24'
'ANDREA ANTONIA', 'ROBREDO CAYON', '1969-07-17'
'PHILIPPA', 'PEDRALS CAÑETE', '1999-12-30'
'DIANA KATHERINE', 'FELPETE MARZABAL', '1954-05-25'
'AYTHAMI JESUS', 'PURICE BOUGTIB', '1937-04-25'
'CAROLINA ALEXANDRA', 'COLLAGUAZO VOLKOVA', '1975-10-09'
'NEREIDA MARIA', 'ZUFIRIA PALLEROLA', '1970-11-01'
'CRISTINA MADALINA', 'LEZA VIZARRO', '1950-09-26'
'IWONA KATARZYNA', 'BAGLIETTO LOPEZ DE LA OSA', '1928-11-01'
'JUANA CONCEPCION', 'ARIZNABARRETA HIJAR', '2003-05-09'
'ERITZ', 'JOUNOU AÑON', '1928-05-14'
'JOAQUIN ISIDRO', 'ZARRAGA BORRAS', '1963-10-06'
'PEDRO ALEXIS', 'LORA TRUCO', '1942-02-08'
'ISABEL AMPARO', 'HERMS AZARFANE', '1996-05-25'
'YE', 'BEREZIARTUA CHOYA', '1970-08-20'
'MARIE LOUISE', 'ROSSI PLAMENOVA', '1957-03-01'
'ANTOINE', 'HAMER HOYUELA', '1967-04-18'
'RODOLFO JESUS', 'ZARATIEGUI TUDO', '1988-08-11'
'ROI', 'EL ASRAOUI VAREA', '1971-06-28'
'SUSAN BARBARA', 'HIRALDO MAHDAD', '1959-01-26'
'MARTIN MARIA', 'SANTURTUN PERTIÑEZ', '1980-09-04'
'LAURENCE MARIE', 'BALLONGA BADIAS', '1951-07-25'
'LALIT', 'BRAN ARAHAL', '1950-07-18'
'SANTIAGO ANTONIO', 'TARAZON LOARCES', '2004-11-18'
'MARIA CREU', 'BOUZA CORNET', '1946-04-16'
'DRAGOS BOGDAN', 'VICTORINO PEDRO', '1954-01-10'
'MERCEDES LEONOR', 'DE MAYA BAJONA', '1933-07-30'
'NURIA PINO', 'CEDEÑO COSGAYA', '1932-10-31'
'JESUS SERGIO', 'MIREA ALVAREZ OSSORIO', '2009-10-05'
'IRMA ROSA', 'OSACAR GARCIA PLATA', '1981-12-16'
'MIRIAM AMPARO', 'MODENES GUMA', '1995-10-18'
'ISAAC RAFAEL', 'ESPERILLA CARCHI', '1943-10-16'
'BING', 'CASTAN CARBALLEDA', '1962-01-25'
'VICTORIANO MIGUEL', 'ALFOSEA CORDEIRO', '1964-04-01'
'VICTORIA LUISA', 'CHOCANO RADUT', '1997-04-28'
'JANET', 'MARIBLANCA BAIXAULI', '1942-10-27'
'JUDITH PILAR', 'SENLLE AGUIRREBEITIA', '1923-10-28'
'LEONARDO ANGEL', 'FOURNIER LACHHEB', '1959-08-31'
'ENRIQUE ALEJANDRO', 'CASTELLET LARROSA', '1986-01-21'
'AZALEA', 'BELZA MORERA', '1966-11-09'
'MARTIN ERNESTO', 'SACEDO BADIAS', '1972-02-23'
'MARK ADRIAN', 'SUCO CASCOS', '1947-01-07'
'VITALIYA', 'LUSQUIÑOS LIMON', '1988-02-03'
'SHUANG', 'BABOI MUNT', '1987-11-28'
'MARTA ROCIO', 'ARNAEZ EXTREMO', '1997-03-01'
'ANDREA LIZETH', 'RITE DJILALI', '1988-01-13'
'VIRGINIDAD', 'MRABET MALUENDA', '1965-10-23'
'MARIA LIGIA', 'PAZOS DE ARCOS', '1959-06-03'
'GUADALUPE', 'ARBIZA ZHONG', '1988-07-28'
'DIEGO RAUL', 'SELLAS TUAREZ', '1996-02-27'
'MARIA GLADIS', 'ALVAREZ DE EULATE SAMPIETRO', '1944-11-23'
'LIN', 'PUEBLAS GUBERT', '1953-04-22'
'PETRU GABRIEL', 'ASUERO GRANELL', '1918-02-04'
'LAHSEN', 'SCHOFIELD PATEIRO', '1922-12-30'
'MARIYAN', 'FOLEY ITURBE', '1927-08-11'
'OMKELTOUM', 'RICON CIUREA', '1928-09-15'
'PARAMJIT', 'GARMILLA COQUE', '1948-12-28'
'MARIA OMAIRA', 'ALEU RAÑALES', '1987-02-15'
'IGNACIO ANGEL', 'DALY PAYERAS', '2004-11-21'
'KAREN CRISTINA', 'MATRES CENOZ', '1962-06-26'
'VASILEIOS', 'PLAJA CANTOS', '1989-04-28'
'ARMENGOL', 'AYARZA POLAINO', '1949-07-21'
'VALERIA ALEXANDRA', 'CONTEL BOUAICHAT', '1918-02-11'
'FRANCISCA CANDELARIA', 'FAUNDEZ ALGABA', '1952-01-30'
'LOURDES GUADALUPE', 'GUO CAMPO', '1961-02-26'
'MARIA JOSEFA CONCEPCION', 'FIORI NOAL', '2012-02-12'
'MARTIN FRANCISCO', 'LUCAS TORRES RIDRUEJO', '1984-07-31'
'ISABEL ROSARIO', 'USON AZKUNE', '1929-07-10'
'RIDA', 'MONTERO DE ESPINOSA CAHUANA', '1959-07-28'
'ISABEL RAMONA', 'AMARAL MENECES', '1959-12-27'
'JOSEFA SUSANA', 'TODOROV BACETE', '1931-05-15'
'MICHAEL JESUS', 'CLOQUELL MARRAS', '1969-01-19'
'HENRY ALBERTO', 'ZUBIRIA SABATES', '1974-12-02'
'YOHANKA', 'NOTO ALBIZUA', '1932-07-02'
'PEDRO MARIO', 'LENZA GAMO', '1947-05-20'
'RAQUEL LEONOR', 'GENOVA VOGEL', '1972-02-24'
'PALMIRA MARIA', 'MAANAN EIJO', '1991-08-05'
'TANIA BELEN', 'SALORD SORENSEN', '2012-07-01'
'LIERNI', 'ARANZABAL CHARRY', '1960-03-24'
'CECILIA MARIANA', 'ADA MIRI', '1962-07-18'
'MARIA PILAR DOLORES', 'BUDRIA RIBALDA', '1920-04-09'
'ARIADNA LUCIA', 'KE RAMALLO', '1996-08-08'
'ANTONIA GEMA', 'YANGUAS BROTONS', '1935-10-25'
'CLARA MAGDALENA', 'VINIEGRA GREUS', '1940-03-23'
'MATILDE ANA', 'TORTELLA BERCIANO', '1966-07-05'
'MARCIN', 'JATO MALEK', '1959-11-03'
'ELISABEHT', 'ORJUELA HUA', '2013-06-20'
'SONYA', 'MOIRON FRAUCA', '1923-05-29'
'BRIAN ROBERT', 'MORLAN PORTABALES', '2002-07-04'
'ALVARINA', 'GOZALVEZ BARRUL', '1987-07-25'
'ANGEL MARCOS', 'BARREJON GENOVART', '2010-12-11'
'DEEPA', 'MATARRANZ RASET', '1964-12-05'
'DIAMAR', 'RETUERTA BRACAMONTE', '2012-09-14'
'MIRNA ELIZABETH', 'NAVEIRAS CORMAN', '1987-08-17'
'EUGENIA ISABEL', 'ROMERALO BARRUTIA', '1930-05-26'
'CONCHITA', 'MADROÑO CARRATALA', '1996-09-15'
'EDUARDO MARIO', 'BUHIGAS TIAGO', '1988-02-11'
'NATALIA LAURA', 'BODEGA MELIA', '1976-04-25'
'DESISLAVA', 'GURUCHARRI CASTAÑEIRA', '2002-05-10'
'FRANCISCA LUCIA', 'IBARES CRUCHAGA', '1940-05-28'
'PAVLINKA', 'JIMA BASIL', '1978-03-09'
'YOUNES', 'OUAHABI GABINO', '2004-12-04'
'ANTONIO MELCHOR', 'PAGOLA MILEA', '1927-07-14'
'JIAQING', 'CANDO MOLINER', '1958-10-24'
'ADOLFO IGNACIO', 'BAÑUELOS OLIVERI', '1965-05-20'
'HERMOGENES', 'YOU SARATXAGA', '1997-05-21'
'ANTONIO JOSE MARIA', 'RESTITUTO EL HAMDOUNI', '1964-03-24'
'LUCIA MERCEDES', 'ISASTI GARCIA PLATA', '1990-02-18'
'ARCADIO', 'VILANA CUSINE', '1999-08-21'
'MUNEEB', 'NAVAZA MIEDES', '1969-10-23'
'ADRIANA JESUS', 'MARONG ASSOU', '1994-03-16'
'THOMAS RICHARD', 'CALAS FELIS', '1942-09-24'
'FEN', 'SANDUVETE SMITH', '1992-05-24'
'MARIAN GHEORGHE', 'CADENA SAN ANTON', '2007-08-14'
'DANIELA ANGELES', 'TABERNER CASTROVERDE', '2005-11-03'
'MANE', 'ARCEO VALSERA', '1976-10-10'
'JOSEFINA TERESA', 'OUABI LASCU', '1936-01-29'
'ROCIO ALEXANDRA', 'ACARRETA SAMBLAS', '1925-05-20'
'ANTHONY DANIEL', 'BARTROLI TAHIRI', '2002-08-11'
'ELOISA ISABEL', 'AYESA MAROUF', '1943-10-07'
'DANUT VASILE', 'GUANTER CUERDO', '1989-05-25'
'AMALIA BEATRIZ', 'FADRIQUE YUGUEROS', '1944-06-14'
'FILOFTEIA', 'IBARRECHE LAPERAL', '1953-02-17'
'HECTOR RAUL', 'CAPAPE MEIRE', '1960-10-03'
'KELLY LOUISE', 'LUCINI ALMAGUER', '1967-05-07'
'SIYKA', 'BENIMELI PAÑEDA', '1918-02-07'
'ESTEBAN ANDRES', 'CASTROSIN BOVER', '1972-03-01'
'CANDIDO LUIS', 'VILARRUBI SASU', '1973-12-20'
'IONELA MARINELA', 'PELEGRI ZAJARA', '1983-03-01'
'NOUZHA', 'MORMENEO HERMAN', '1920-11-24'
'CRISTIAN COSMIN', 'BOGA MUÑEZ', '2008-06-27'
'RICHARD PAUL', 'BUZDUGAN ARRUABARRENA', '2009-04-29'
'FELLA', 'CASADEVALL CASTET', '1978-05-14'
'DINORA', 'CIRPACI CAÑAMAQUE', '1994-10-29'
'EMILIO FELIX', 'SAN PEDRO PIERRE', '1952-09-07'
'CARLOS ALEXIS', 'BEDATE MALPARTIDA', '2014-05-27'
'TOMAS BENJAMIN', 'BACETE ARANSAY', '1953-05-27'
'NICERETA', 'CAPO NANU', '1932-11-05'
'CLARA LUZ', 'CAÑUELO CUARTIELLES', '1974-07-21'
'MARINA MONTSERRAT', 'SACALUGA SANCHEZ RUBIO', '1938-05-28'
'CARLOTA', 'DOMBRIZ DE LA CIERVA', '1980-05-05'
'HELLEN', 'CIRAC RUSU', '2009-05-29'
'DOLORES ENCARNACION', 'EL AYADI ALBUJER', '1995-04-18'
'GONZALO JUAN', 'AUBA LLAMBRICH', '1918-09-18'
'MARIA JANETH', 'ZURBANO ALLI', '1927-10-10'
'JULIA GABRIELA', 'GRANE VAZ', '1948-10-29'
'ROSA ALTAGRACIA', 'BOLDU GAROÑA', '1924-02-08'
'HELENA VICTORIA', 'STOICESCU CAELLES', '1985-11-21'
'MARIA COROMOTO', 'SIMONYAN VIÑUALES', '1924-11-11'
'JOHN HENRY', 'SOUMARE FERNANDEZ PUEBLA', '1974-04-15'
'LESZEK', 'MANZANAS EL MOURABIT', '1920-07-21'
'TANIA TAMARA', 'ALUSTIZA KLEIN', '1936-01-09'
'MARIA PILAR BEGOÃ‘A', 'CRISTINO BEN BRAHIM', '1918-08-12'
'NURA', 'MANTIÑAN MACHADO', '2002-11-12'
'MARICELA', 'MELER SHARIF', '1930-11-06'
'HASSEN', 'NULA RONCERO', '2009-10-10'
'JOAQUIN DAVID', 'ES SALEHY MEIZOSO', '1937-02-16'
'RUBEN SAMUEL', 'CASTILLA ADAMES', '1952-11-17'
'DIANA CATALINA', 'CRAIU RAMLI', '1989-08-28'
'LUIS GABRIEL', 'EL MESSAOUDI ABRIO', '1997-09-07'
'JUANA TERESA', 'REINALDOS NAVEED', '2004-11-27'
'HILDEGARD', 'MARGUENDA CALDITO', '1935-07-25'
'ANTONIO EUGENIO', 'SILVELA LAM', '1930-03-28'
'DEREK JOHN', 'REDECILLAS PINUAGA', '1924-10-08'
'ROSA SANDRA', 'SANCHEZ MATEOS FAROOQ', '1961-03-12'
'ILIE IULIAN', 'CARRERES ALMARIO', '1983-04-04'
'ASENSIO JOSE', 'ORDORIKA PORTET', '1983-04-12'
'MARTA MATILDE', 'CAVA ARANDO', '1954-11-05'
'ALEJANDRO ISRAEL', 'ESTRADE TASENDE', '2005-08-06'
'MARIA ROMINA', 'CAJIGAL MOROSAN', '1923-01-11'
'DOMINGO MANUEL', 'TUTA ESPUÑA', '1922-01-01'
'JESUS DAMIAN', 'CARQUES CAPELO', '1999-09-05'
'MARCOS DARIO', 'ANSORENA DEL PERAL', '1990-06-23'
'MARIA STELA', 'TREPAT TARRIAS', '1959-11-23'
'GUILLERMO GUSTAVO', 'ESTEVES CULLEN', '1998-11-19'
'MARINA EVA', 'CRAIG DOCAL', '1940-05-14'
'ALEJANDRA NATALIA', 'CRUAÑAS BAUSILI', '1978-10-09'
'NIANG', 'TENZA BAHRI', '1919-10-28'
'FRANKLIN GEOVANNY', 'BOGAS VICTORI', '1966-08-23'
'GITTE', 'EKHATOR FUMANAL', '1956-05-21'
'MAHY', 'SUÑE CIRUELA', '1925-06-03'
'BRIAN ANTHONY', 'VARTOLOMEI COEGO', '2012-12-04'
'QUINTI', 'PAPAN SANTANGELO', '1932-01-21'
'DAIANA', 'ARTIGAO PRIO', '1955-02-08'
'ANDRES ALEXANDER', 'TALHI LAHYANI', '1963-11-09'
'ISABEL TERESA', 'ROCA DE TOGORES MARTIROSYAN', '1988-06-30'
'MARYURI', 'BERMAN CERDEIRA', '1942-07-20'
'GUILLERMO SANTIAGO', 'CONCELLON ASTIGARRAGA', '1951-07-27'
'ANGELA RAMONA', 'MARSILLA SANCHEZ CAMBRONERO', '1986-07-29'
'ROMAN MIGUEL', 'ASCANIO AVELLI', '1988-10-15'
'CRISOGONO', 'PACE GRANDIO', '1923-09-07'
'DANIELA GEORGETA', 'ALAVA IÑIGUEZ', '1959-01-24'
'ROSA CANDELARIA', 'LLOVET OTANO', '1956-04-24'
'MARGARITA ADELA', 'BEN HADDOU ELORZ', '1984-12-01'
'JUAN CONSTANTINO', 'CIORBA CLIVILLE', '1936-12-01'
'HASSIBA', 'AYNES HATEGAN', '1980-12-30'
'NOEL ANTONIO', 'VISUS CATEURA', '1989-12-15'
'OLGA ALEJANDRA', 'ESPIN SALAFRANCA', '1992-08-06'
'EMILIO VICENTE', 'TAMBORERO CHUGANI', '1963-07-28'
'LIDIA CONCEPCION', 'MENEU HUALDE', '2008-05-26'
'MARITZA ROCIO', 'ITURRIOZ CERON', '1952-12-25'
'KAREN ANDREA', 'PANTIN SANSANO', '1934-12-12'
'LHOUSSEINE', 'ABLANEDO ESCURIN', '2012-03-18'
'JIAWANG', 'PER BOENTE', '1954-08-28'
'SOCORRO MARIA', 'CABEO MOORE', '1931-12-29'
'ANA MERCEDES', 'AZAUSTRE LOURO', '1959-03-14'
'NICOLETA GABRIELA', 'ALTAMIRANO BOULAHYA', '2001-04-18'
'ROSARIO VICENTA', 'RASTROJO BONELL', '2003-10-27'
'SALADINA', 'ROM ARGUEDAS', '1930-08-03'
'JUDITA', 'CIGES REMOLAR', '2012-09-03'
'JOHANA MARCELA', 'CASTELBLANQUE JUSTEL', '1976-05-10'
'DAUD', 'GUILLAUMET SANTILLAN', '1971-05-30'
'LUCIE', 'DE PABLOS RUBIRALTA', '1945-11-09'
'TRINIDAD ANGELES', 'ALEJANDRO LAJUSTICIA', '1968-03-21'
'SAINEY', 'ARGUEDAS ACHERKOUK', '1979-11-08'
'MARLENY SOCORRO', 'CASAUS ORLOVA', '2012-05-10'
'HABANA', 'EL ALLAOUI MOLLET', '1938-06-23'
'ROBERT ENRIQUE', 'TRIVIÑO MATARAN', '1936-10-18'
'CAIHONG', 'ABID OYOLA', '2005-04-08'
'MARIA FERMINA', 'SISTERE MONGELOS', '1954-07-11'
'ALBA ELENA', 'AZZAOUI PRIM', '1969-07-15'
'SUELI', 'URIZ BARBARA', '2005-01-21'
'POLICARPIO', 'CASTROMIL ALMUZARA', '2015-12-20'
'MIRTA ALICIA', 'BROTONS IPIALES', '1993-01-23'
'ISABEL LORETO', 'BAREA MANGANA', '1923-03-22'
'ZULAIMA', 'BERDEJO ARREZA', '1978-04-07'
'ROBEL', 'ENERO AGOST', '1953-01-31'
'EDISON JESUS', 'ARESO SUBIRI', '1989-10-05'
'VALERIA SOLEDAD', 'MUÑEZ ZOILO', '1980-06-16'
'MALCOLM', 'EULOGIO ARCEREDILLO', '1952-02-17'
